,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity,cut_words,letters,comment_length,cleaned_comment
8089,57,Portugal,6.0,i would advise with reservation because the interest on the debt is high,Vague 2021,negative,0,"['i', 'would', 'advise', 'with', 'reservation', 'because', 'the', 'interest', 'on', 'the', 'debt', 'is', 'high']","['i', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'a', 'd', 'v', 'i', 's', 'e', ' ', 'w', 'i', 't', 'h', ' ', 'r', 'e', 's', 'e', 'r', 'v', 'a', 't', 'i', 'o', 'n', ' ', 'b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 't', 'h', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', 'd', 'e', 'b', 't', ' ', 'i', 's', ' ', 'h', 'i', 'g', 'h']",13,would advise reservation interest debt high
8091,41,Portugal,10.0,a good and reliable bank,Vague 2021,positive,1,"['a', 'good', 'and', 'reliable', 'bank']","['a', ' ', 'g', 'o', 'o', 'd', ' ', 'a', 'n', 'd', ' ', 'r', 'e', 'l', 'i', 'a', 'b', 'l', 'e', ' ', 'b', 'a', 'n', 'k']",5,good reliable
8095,28,Portugal,10.0,a good relationship,Vague 2021,positive,1,"['a', 'good', 'relationship']","['a', ' ', 'g', 'o', 'o', 'd', ' ', 'r', 'e', 'l', 'a', 't', 'i', 'o', 'n', 's', 'h', 'i', 'p']",3,good relationship
8097,22,Portugal,10.0,"it's very easy to deal with, has good boundaries",Vague 2021,positive,1,"[""it's"", 'very', 'easy', 'to', 'deal', 'with,', 'has', 'good', 'boundaries']","['i', 't', ""'"", 's', ' ', 'v', 'e', 'r', 'y', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'd', 'e', 'a', 'l', ' ', 'w', 'i', 't', 'h', ',', ' ', 'h', 'a', 's', ' ', 'g', 'o', 'o', 'd', ' ', 'b', 'o', 'u', 'n', 'd', 'a', 'r', 'i', 'e', 's']",9,easy deal good boundaries
8098,29,Portugal,9.0,100% reliable,Vague 2021,positive,1,"['100%', 'reliable']","['1', '0', '0', '%', ' ', 'r', 'e', 'l', 'i', 'a', 'b', 'l', 'e']",2,reliable
8099,19,Portugal,10.0,"fast service and service, with interest in customers and post-service follow-up",Vague 2021,positive,1,"['fast', 'service', 'and', 'service,', 'with', 'interest', 'in', 'customers', 'and', 'post-service', 'follow-up']","['f', 'a', 's', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'a', 'n', 'd', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ',', ' ', 'w', 'i', 't', 'h', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'i', 'n', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', 's', ' ', 'a', 'n', 'd', ' ', 'p', 'o', 's', 't', '-', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'f', 'o', 'l', 'l', 'o', 'w', '-', 'u', 'p']",11,fast service service interest customers post service follow
8100,32,Portugal,10.0,because they make the process easier,Vague 2021,positive,1,"['because', 'they', 'make', 'the', 'process', 'easier']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 't', 'h', 'e', 'y', ' ', 'm', 'a', 'k', 'e', ' ', 't', 'h', 'e', ' ', 'p', 'r', 'o', 'c', 'e', 's', 's', ' ', 'e', 'a', 's', 'i', 'e', 'r']",6,make process easier
8105,40,Portugal,6.0,works well but high interest,Vague 2021,negative,0,"['works', 'well', 'but', 'high', 'interest']","['w', 'o', 'r', 'k', 's', ' ', 'w', 'e', 'l', 'l', ' ', 'b', 'u', 't', ' ', 'h', 'i', 'g', 'h', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't']",5,works well high interest
8107,47,Portugal,9.0,the service,Vague 2021,positive,1,"['the', 'service']","['t', 'h', 'e', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",2,service
8108,41,Portugal,5.0,i prefer not to declare,Vague 2021,negative,0,"['i', 'prefer', 'not', 'to', 'declare']","['i', ' ', 'p', 'r', 'e', 'f', 'e', 'r', ' ', 'n', 'o', 't', ' ', 't', 'o', ' ', 'd', 'e', 'c', 'l', 'a', 'r', 'e']",5,prefer declare
8110,34,Portugal,10.0,"i don't have any complaints, they are excellent.",Vague 2021,positive,1,"['i', ""don't"", 'have', 'any', 'complaints,', 'they', 'are', 'excellent.']","['i', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'h', 'a', 'v', 'e', ' ', 'a', 'n', 'y', ' ', 'c', 'o', 'm', 'p', 'l', 'a', 'i', 'n', 't', 's', ',', ' ', 't', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't', '.']",8,complaints excellent
8111,40,Portugal,10.0,in,Vague 2021,positive,1,['in'],"['i', 'n']",1,
8112,31,Portugal,9.0,satisfaction,Vague 2021,positive,1,['satisfaction'],"['s', 'a', 't', 'i', 's', 'f', 'a', 'c', 't', 'i', 'o', 'n']",1,satisfaction
8113,29,Portugal,10.0,"always attentive, fast service and problem solving, easy access to information",Vague 2021,positive,1,"['always', 'attentive,', 'fast', 'service', 'and', 'problem', 'solving,', 'easy', 'access', 'to', 'information']","['a', 'l', 'w', 'a', 'y', 's', ' ', 'a', 't', 't', 'e', 'n', 't', 'i', 'v', 'e', ',', ' ', 'f', 'a', 's', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'a', 'n', 'd', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', ' ', 's', 'o', 'l', 'v', 'i', 'n', 'g', ',', ' ', 'e', 'a', 's', 'y', ' ', 'a', 'c', 'c', 'e', 's', 's', ' ', 't', 'o', ' ', 'i', 'n', 'f', 'o', 'r', 'm', 'a', 't', 'i', 'o', 'n']",11,always attentive fast service problem solving easy access information
8114,41,Portugal,5.0,not very helpful and practical,Vague 2021,negative,0,"['not', 'very', 'helpful', 'and', 'practical']","['n', 'o', 't', ' ', 'v', 'e', 'r', 'y', ' ', 'h', 'e', 'l', 'p', 'f', 'u', 'l', ' ', 'a', 'n', 'd', ' ', 'p', 'r', 'a', 'c', 't', 'i', 'c', 'a', 'l']",5,helpful practical
8115,36,Portugal,10.0,never having any problems in 4 years,Vague 2021,positive,1,"['never', 'having', 'any', 'problems', 'in', '4', 'years']","['n', 'e', 'v', 'e', 'r', ' ', 'h', 'a', 'v', 'i', 'n', 'g', ' ', 'a', 'n', 'y', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'i', 'n', ' ', '4', ' ', 'y', 'e', 'a', 'r', 's']",7,never problems years
8117,36,Portugal,5.0,"better customer service, and more renewable payment plans",Vague 2021,negative,0,"['better', 'customer', 'service,', 'and', 'more', 'renewable', 'payment', 'plans']","['b', 'e', 't', 't', 'e', 'r', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ',', ' ', 'a', 'n', 'd', ' ', 'm', 'o', 'r', 'e', ' ', 'r', 'e', 'n', 'e', 'w', 'a', 'b', 'l', 'e', ' ', 'p', 'a', 'y', 'm', 'e', 'n', 't', ' ', 'p', 'l', 'a', 'n', 's']",8,better customer service renewable payment plans
8119,57,Portugal,10.0,sincere and transparent,Vague 2021,positive,1,"['sincere', 'and', 'transparent']","['s', 'i', 'n', 'c', 'e', 'r', 'e', ' ', 'a', 'n', 'd', ' ', 't', 'r', 'a', 'n', 's', 'p', 'a', 'r', 'e', 'n', 't']",3,sincere transparent
8120,35,Portugal,10.0,i liked the service,Vague 2021,positive,1,"['i', 'liked', 'the', 'service']","['i', ' ', 'l', 'i', 'k', 'e', 'd', ' ', 't', 'h', 'e', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",4,liked service
8122,43,Portugal,2.0,high interest,Vague 2021,negative,0,"['high', 'interest']","['h', 'i', 'g', 'h', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't']",2,high interest
8124,42,Portugal,10.0,trust in the institution,Vague 2021,positive,1,"['trust', 'in', 'the', 'institution']","['t', 'r', 'u', 's', 't', ' ', 'i', 'n', ' ', 't', 'h', 'e', ' ', 'i', 'n', 's', 't', 'i', 't', 'u', 't', 'i', 'o', 'n']",4,trust institution
8126,40,Portugal,9.0,quick response to,Vague 2021,positive,1,"['quick', 'response', 'to']","['q', 'u', 'i', 'c', 'k', ' ', 'r', 'e', 's', 'p', 'o', 'n', 's', 'e', ' ', 't', 'o']",3,quick response
8127,41,Portugal,9.0,a trusted company.,Vague 2021,positive,1,"['a', 'trusted', 'company.']","['a', ' ', 't', 'r', 'u', 's', 't', 'e', 'd', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', '.']",3,trusted company
8128,36,Portugal,9.0,rstao always probtos ajydar and i never had problems with the institution,Vague 2021,positive,1,"['rstao', 'always', 'probtos', 'ajydar', 'and', 'i', 'never', 'had', 'problems', 'with', 'the', 'institution']","['r', 's', 't', 'a', 'o', ' ', 'a', 'l', 'w', 'a', 'y', 's', ' ', 'p', 'r', 'o', 'b', 't', 'o', 's', ' ', 'a', 'j', 'y', 'd', 'a', 'r', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 'n', 'e', 'v', 'e', 'r', ' ', 'h', 'a', 'd', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', ' ', 'i', 'n', 's', 't', 'i', 't', 'u', 't', 'i', 'o', 'n']",12,rstao always probtos ajydar never problems institution
8129,20,Portugal,9.0,they helped me a lot when i had problems with a car purchase at a dealership and managed to get my money back,Vague 2021,positive,1,"['they', 'helped', 'me', 'a', 'lot', 'when', 'i', 'had', 'problems', 'with', 'a', 'car', 'purchase', 'at', 'a', 'dealership', 'and', 'managed', 'to', 'get', 'my', 'money', 'back']","['t', 'h', 'e', 'y', ' ', 'h', 'e', 'l', 'p', 'e', 'd', ' ', 'm', 'e', ' ', 'a', ' ', 'l', 'o', 't', ' ', 'w', 'h', 'e', 'n', ' ', 'i', ' ', 'h', 'a', 'd', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 'a', ' ', 'c', 'a', 'r', ' ', 'p', 'u', 'r', 'c', 'h', 'a', 's', 'e', ' ', 'a', 't', ' ', 'a', ' ', 'd', 'e', 'a', 'l', 'e', 'r', 's', 'h', 'i', 'p', ' ', 'a', 'n', 'd', ' ', 'm', 'a', 'n', 'a', 'g', 'e', 'd', ' ', 't', 'o', ' ', 'g', 'e', 't', ' ', 'm', 'y', ' ', 'm', 'o', 'n', 'e', 'y', ' ', 'b', 'a', 'c', 'k']",23,helped lot problems car purchase dealership managed get money back
8130,47,Portugal,9.0,they always gave credit for my purchases of equipment for the home and i have more and more credit limits,Vague 2021,positive,1,"['they', 'always', 'gave', 'credit', 'for', 'my', 'purchases', 'of', 'equipment', 'for', 'the', 'home', 'and', 'i', 'have', 'more', 'and', 'more', 'credit', 'limits']","['t', 'h', 'e', 'y', ' ', 'a', 'l', 'w', 'a', 'y', 's', ' ', 'g', 'a', 'v', 'e', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'f', 'o', 'r', ' ', 'm', 'y', ' ', 'p', 'u', 'r', 'c', 'h', 'a', 's', 'e', 's', ' ', 'o', 'f', ' ', 'e', 'q', 'u', 'i', 'p', 'm', 'e', 'n', 't', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'h', 'o', 'm', 'e', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'm', 'o', 'r', 'e', ' ', 'a', 'n', 'd', ' ', 'm', 'o', 'r', 'e', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'l', 'i', 'm', 'i', 't', 's']",20,always gave credit purchases equipment home credit limits
8131,26,Germany,10.0,good,Vague 2021,positive,1,['good'],"['g', 'o', 'o', 'd']",1,good
8132,25,Portugal,9.0,the best card internationally,Vague 2021,positive,1,"['the', 'best', 'card', 'internationally']","['t', 'h', 'e', ' ', 'b', 'e', 's', 't', ' ', 'c', 'a', 'r', 'd', ' ', 'i', 'n', 't', 'e', 'r', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'l', 'l', 'y']",4,best card internationally
8135,33,Portugal,9.0,it's an excellent bank. very simple if stress.,Vague 2021,positive,1,"[""it's"", 'an', 'excellent', 'bank.', 'very', 'simple', 'if', 'stress.']","['i', 't', ""'"", 's', ' ', 'a', 'n', ' ', 'e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't', ' ', 'b', 'a', 'n', 'k', '.', ' ', 'v', 'e', 'r', 'y', ' ', 's', 'i', 'm', 'p', 'l', 'e', ' ', 'i', 'f', ' ', 's', 't', 'r', 'e', 's', 's', '.']",8,excellent simple stress
8138,53,Portugal,5.0,collection of many fees and taxes,Vague 2021,negative,0,"['collection', 'of', 'many', 'fees', 'and', 'taxes']","['c', 'o', 'l', 'l', 'e', 'c', 't', 'i', 'o', 'n', ' ', 'o', 'f', ' ', 'm', 'a', 'n', 'y', ' ', 'f', 'e', 'e', 's', ' ', 'a', 'n', 'd', ' ', 't', 'a', 'x', 'e', 's']",6,collection many fees taxes
8141,38,Portugal,9.0,good credit,Vague 2021,positive,1,"['good', 'credit']","['g', 'o', 'o', 'd', ' ', 'c', 'r', 'e', 'd', 'i', 't']",2,good credit
8142,55,Germany,10.0,good rates and service,Vague 2021,positive,1,"['good', 'rates', 'and', 'service']","['g', 'o', 'o', 'd', ' ', 'r', 'a', 't', 'e', 's', ' ', 'a', 'n', 'd', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",4,good rates service
8143,25,Germany,4.0,,Vague 2021,negative,0,[],[],0,
8145,55,Germany,9.0,i've been a customer there for a long time and i'm very satisfied,Vague 2021,positive,1,"[""i've"", 'been', 'a', 'customer', 'there', 'for', 'a', 'long', 'time', 'and', ""i'm"", 'very', 'satisfied']","['i', ""'"", 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'a', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'f', 'o', 'r', ' ', 'a', ' ', 'l', 'o', 'n', 'g', ' ', 't', 'i', 'm', 'e', ' ', 'a', 'n', 'd', ' ', 'i', ""'"", 'm', ' ', 'v', 'e', 'r', 'y', ' ', 's', 'a', 't', 'i', 's', 'f', 'i', 'e', 'd']",13,customer long time satisfied
8147,29,Germany,10.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8149,49,Germany,9.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8150,39,Germany,5.0,i have had neither negative nor positive experiences with the bank,Vague 2021,negative,0,"['i', 'have', 'had', 'neither', 'negative', 'nor', 'positive', 'experiences', 'with', 'the', 'bank']","['i', ' ', 'h', 'a', 'v', 'e', ' ', 'h', 'a', 'd', ' ', 'n', 'e', 'i', 't', 'h', 'e', 'r', ' ', 'n', 'e', 'g', 'a', 't', 'i', 'v', 'e', ' ', 'n', 'o', 'r', ' ', 'p', 'o', 's', 'i', 't', 'i', 'v', 'e', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', ' ', 'b', 'a', 'n', 'k']",11,neither negative positive experiences
8151,51,Germany,9.0,great service,Vague 2021,positive,1,"['great', 'service']","['g', 'r', 'e', 'a', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",2,great service
8152,58,Germany,10.0,"very easy application, low interest rates",Vague 2021,positive,1,"['very', 'easy', 'application,', 'low', 'interest', 'rates']","['v', 'e', 'r', 'y', ' ', 'e', 'a', 's', 'y', ' ', 'a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n', ',', ' ', 'l', 'o', 'w', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'r', 'a', 't', 'e', 's']",6,easy application low interest rates
8153,30,Germany,10.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8154,59,Germany,10.0,is uncomplicated,Vague 2021,positive,1,"['is', 'uncomplicated']","['i', 's', ' ', 'u', 'n', 'c', 'o', 'm', 'p', 'l', 'i', 'c', 'a', 't', 'e', 'd']",2,uncomplicated
8155,49,Germany,10.0,very good,Vague 2021,positive,1,"['very', 'good']","['v', 'e', 'r', 'y', ' ', 'g', 'o', 'o', 'd']",2,good
8156,50,Germany,10.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8158,23,Germany,10.0,type good,Vague 2021,positive,1,"['type', 'good']","['t', 'y', 'p', 'e', ' ', 'g', 'o', 'o', 'd']",2,type good
8159,61,Germany,9.0,"simple processing, very accommodating conditions",Vague 2021,positive,1,"['simple', 'processing,', 'very', 'accommodating', 'conditions']","['s', 'i', 'm', 'p', 'l', 'e', ' ', 'p', 'r', 'o', 'c', 'e', 's', 's', 'i', 'n', 'g', ',', ' ', 'v', 'e', 'r', 'y', ' ', 'a', 'c', 'c', 'o', 'm', 'm', 'o', 'd', 'a', 't', 'i', 'n', 'g', ' ', 'c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n', 's']",5,simple processing accommodating conditions
8160,21,Germany,6.0,good din,Vague 2021,negative,0,"['good', 'din']","['g', 'o', 'o', 'd', ' ', 'd', 'i', 'n']",2,good din
8161,40,Germany,10.0,"fast appointments, nice consultant with in-depth knowledge, i was looking for the best possible solution for my request",Vague 2021,positive,1,"['fast', 'appointments,', 'nice', 'consultant', 'with', 'in-depth', 'knowledge,', 'i', 'was', 'looking', 'for', 'the', 'best', 'possible', 'solution', 'for', 'my', 'request']","['f', 'a', 's', 't', ' ', 'a', 'p', 'p', 'o', 'i', 'n', 't', 'm', 'e', 'n', 't', 's', ',', ' ', 'n', 'i', 'c', 'e', ' ', 'c', 'o', 'n', 's', 'u', 'l', 't', 'a', 'n', 't', ' ', 'w', 'i', 't', 'h', ' ', 'i', 'n', '-', 'd', 'e', 'p', 't', 'h', ' ', 'k', 'n', 'o', 'w', 'l', 'e', 'd', 'g', 'e', ',', ' ', 'i', ' ', 'w', 'a', 's', ' ', 'l', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'b', 'e', 's', 't', ' ', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', ' ', 's', 'o', 'l', 'u', 't', 'i', 'o', 'n', ' ', 'f', 'o', 'r', ' ', 'm', 'y', ' ', 'r', 'e', 'q', 'u', 'e', 's', 't']",18,fast appointments nice consultant depth knowledge looking best possible solution request
8164,27,Germany,10.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8165,45,Germany,9.0,"very reliable bank, debit and exact listing of paid installments are sent monthly by bank statement.",Vague 2021,positive,1,"['very', 'reliable', 'bank,', 'debit', 'and', 'exact', 'listing', 'of', 'paid', 'installments', 'are', 'sent', 'monthly', 'by', 'bank', 'statement.']","['v', 'e', 'r', 'y', ' ', 'r', 'e', 'l', 'i', 'a', 'b', 'l', 'e', ' ', 'b', 'a', 'n', 'k', ',', ' ', 'd', 'e', 'b', 'i', 't', ' ', 'a', 'n', 'd', ' ', 'e', 'x', 'a', 'c', 't', ' ', 'l', 'i', 's', 't', 'i', 'n', 'g', ' ', 'o', 'f', ' ', 'p', 'a', 'i', 'd', ' ', 'i', 'n', 's', 't', 'a', 'l', 'l', 'm', 'e', 'n', 't', 's', ' ', 'a', 'r', 'e', ' ', 's', 'e', 'n', 't', ' ', 'm', 'o', 'n', 't', 'h', 'l', 'y', ' ', 'b', 'y', ' ', 'b', 'a', 'n', 'k', ' ', 's', 't', 'a', 't', 'e', 'm', 'e', 'n', 't', '.']",16,reliable debit exact listing paid installments sent monthly statement
8167,41,Germany,5.0,simply that way,Vague 2021,negative,0,"['simply', 'that', 'way']","['s', 'i', 'm', 'p', 'l', 'y', ' ', 't', 'h', 'a', 't', ' ', 'w', 'a', 'y']",3,simply way
8168,32,Germany,10.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8169,50,Germany,10.0,"great service, uncomplicated",Vague 2021,positive,1,"['great', 'service,', 'uncomplicated']","['g', 'r', 'e', 'a', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ',', ' ', 'u', 'n', 'c', 'o', 'm', 'p', 'l', 'i', 'c', 'a', 't', 'e', 'd']",3,great service uncomplicated
8170,34,Germany,10.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8172,34,Germany,10.0,like good,Vague 2021,positive,1,"['like', 'good']","['l', 'i', 'k', 'e', ' ', 'g', 'o', 'o', 'd']",2,like good
8173,46,Germany,6.0,"the interest rates are extremely high, but if there are no alternatives, it's okay.",Vague 2021,negative,0,"['the', 'interest', 'rates', 'are', 'extremely', 'high,', 'but', 'if', 'there', 'are', 'no', 'alternatives,', ""it's"", 'okay.']","['t', 'h', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'r', 'a', 't', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'e', 'x', 't', 'r', 'e', 'm', 'e', 'l', 'y', ' ', 'h', 'i', 'g', 'h', ',', ' ', 'b', 'u', 't', ' ', 'i', 'f', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'n', 'o', ' ', 'a', 'l', 't', 'e', 'r', 'n', 'a', 't', 'i', 'v', 'e', 's', ',', ' ', 'i', 't', ""'"", 's', ' ', 'o', 'k', 'a', 'y', '.']",14,interest rates extremely high alternatives
8175,60,Germany,9.0,"good advice, customer-oriented",Vague 2021,positive,1,"['good', 'advice,', 'customer-oriented']","['g', 'o', 'o', 'd', ' ', 'a', 'd', 'v', 'i', 'c', 'e', ',', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', '-', 'o', 'r', 'i', 'e', 'n', 't', 'e', 'd']",3,good advice customer oriented
8177,55,Germany,10.0,i'm always satisfied - own experiences,Vague 2021,positive,1,"[""i'm"", 'always', 'satisfied', '-', 'own', 'experiences']","['i', ""'"", 'm', ' ', 'a', 'l', 'w', 'a', 'y', 's', ' ', 's', 'a', 't', 'i', 's', 'f', 'i', 'e', 'd', ' ', '-', ' ', 'o', 'w', 'n', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', 's']",6,always satisfied experiences
8178,64,Germany,10.0,good conditions and problem-free conclusion,Vague 2021,positive,1,"['good', 'conditions', 'and', 'problem-free', 'conclusion']","['g', 'o', 'o', 'd', ' ', 'c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n', 's', ' ', 'a', 'n', 'd', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', '-', 'f', 'r', 'e', 'e', ' ', 'c', 'o', 'n', 'c', 'l', 'u', 's', 'i', 'o', 'n']",5,good conditions problem free conclusion
8179,51,Germany,10.0,satisfied,Vague 2021,positive,1,['satisfied'],"['s', 'a', 't', 'i', 's', 'f', 'i', 'e', 'd']",1,satisfied
8180,59,Germany,9.0,"very good price/performance ratio, uncomplicated processing of the loan application, fast processing.",Vague 2021,positive,1,"['very', 'good', 'price/performance', 'ratio,', 'uncomplicated', 'processing', 'of', 'the', 'loan', 'application,', 'fast', 'processing.']","['v', 'e', 'r', 'y', ' ', 'g', 'o', 'o', 'd', ' ', 'p', 'r', 'i', 'c', 'e', '/', 'p', 'e', 'r', 'f', 'o', 'r', 'm', 'a', 'n', 'c', 'e', ' ', 'r', 'a', 't', 'i', 'o', ',', ' ', 'u', 'n', 'c', 'o', 'm', 'p', 'l', 'i', 'c', 'a', 't', 'e', 'd', ' ', 'p', 'r', 'o', 'c', 'e', 's', 's', 'i', 'n', 'g', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'l', 'o', 'a', 'n', ' ', 'a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n', ',', ' ', 'f', 'a', 's', 't', ' ', 'p', 'r', 'o', 'c', 'e', 's', 's', 'i', 'n', 'g', '.']",12,good price performance ratio uncomplicated processing loan application fast processing
8182,59,Germany,6.0,"no special reasons, everyone should decide for themselves where to take out a loan",Vague 2021,negative,0,"['no', 'special', 'reasons,', 'everyone', 'should', 'decide', 'for', 'themselves', 'where', 'to', 'take', 'out', 'a', 'loan']","['n', 'o', ' ', 's', 'p', 'e', 'c', 'i', 'a', 'l', ' ', 'r', 'e', 'a', 's', 'o', 'n', 's', ',', ' ', 'e', 'v', 'e', 'r', 'y', 'o', 'n', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'd', 'e', 'c', 'i', 'd', 'e', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', 'm', 's', 'e', 'l', 'v', 'e', 's', ' ', 'w', 'h', 'e', 'r', 'e', ' ', 't', 'o', ' ', 't', 'a', 'k', 'e', ' ', 'o', 'u', 't', ' ', 'a', ' ', 'l', 'o', 'a', 'n']",14,special reasons everyone decide take loan
8184,48,Germany,9.0,good advice,Vague 2021,positive,1,"['good', 'advice']","['g', 'o', 'o', 'd', ' ', 'a', 'd', 'v', 'i', 'c', 'e']",2,good advice
8189,78,Germany,10.0,no problems,Vague 2021,positive,1,"['no', 'problems']","['n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's']",2,problems
8190,53,Germany,1.0,the nerves with constant calls and offers.,Vague 2021,negative,0,"['the', 'nerves', 'with', 'constant', 'calls', 'and', 'offers.']","['t', 'h', 'e', ' ', 'n', 'e', 'r', 'v', 'e', 's', ' ', 'w', 'i', 't', 'h', ' ', 'c', 'o', 'n', 's', 't', 'a', 'n', 't', ' ', 'c', 'a', 'l', 'l', 's', ' ', 'a', 'n', 'd', ' ', 'o', 'f', 'f', 'e', 'r', 's', '.']",7,nerves constant calls offers
8192,28,Germany,2.0,"the interest rate was far too high, during corona and its vat reduction, this was not passed on to the customer",Vague 2021,negative,0,"['the', 'interest', 'rate', 'was', 'far', 'too', 'high,', 'during', 'corona', 'and', 'its', 'vat', 'reduction,', 'this', 'was', 'not', 'passed', 'on', 'to', 'the', 'customer']","['t', 'h', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'r', 'a', 't', 'e', ' ', 'w', 'a', 's', ' ', 'f', 'a', 'r', ' ', 't', 'o', 'o', ' ', 'h', 'i', 'g', 'h', ',', ' ', 'd', 'u', 'r', 'i', 'n', 'g', ' ', 'c', 'o', 'r', 'o', 'n', 'a', ' ', 'a', 'n', 'd', ' ', 'i', 't', 's', ' ', 'v', 'a', 't', ' ', 'r', 'e', 'd', 'u', 'c', 't', 'i', 'o', 'n', ',', ' ', 't', 'h', 'i', 's', ' ', 'w', 'a', 's', ' ', 'n', 'o', 't', ' ', 'p', 'a', 's', 's', 'e', 'd', ' ', 'o', 'n', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r']",21,interest rate far high corona vat reduction passed customer
